This list contains all games supported by FinalBurn Neo.

22811 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-------------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                  | year        | company                                                         | hardware                       | remarks                                                                             |
+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-------------------------------------------------------------------------------------+
| 88games                         |        | '88 Games                                                                                                                                                              |                         | 1988        | Konami                                                          | GX861                          |                                                                                     |
| flagrall                        |        | '96 Flag Rally                                                                                                                                                         |                         | 1996        | Promat?                                                         | Miscellaneous                  |                                                                                     |
| 99lstwarb                       |        | '99: The Last War (bootleg)                                                                                                                                            | repulse                 | 1985        | bootleg                                                         | Miscellaneous                  |                                                                                     |
| 99lstwark                       |        | '99: The Last War (Kyugo)                                                                                                                                              | repulse                 | 1985        | Crux / Kyugo                                                    | Miscellaneous                  |                                                                                     |
| 99lstwar                        |        | '99: The Last War (set 1)                                                                                                                                              | repulse                 | 1985        | Crux / Proma                                                    | Miscellaneous                  |                                                                                     |
| 99lstwara                       |        | '99: The Last War (set 2)                                                                                                                                              | repulse                 | 1985        | Crux / Proma                                                    | Miscellaneous                  |                                                                                     |
| spec_licencetokill              |        | 007 - Licence to Kill (128K)                                                                                                                                           |                         | 1989        | Domark                                                          | ZX Spectrum                    |                                                                                     |
| msx_lic2kill                    |        | 007 - Licence to Kill (Euro)                                                                                                                                           |                         | 1989        | Domark                                                          | MSX                            |                                                                                     |
| spec_007liveandletdie           |        | 007 - Live and Let Die (128K)                                                                                                                                          |                         | 1988        | Domark                                                          | ZX Spectrum                    |                                                                                     |
| spec_thelivingdaylights         |        | 007 - The Living Daylights (48K)                                                                                                                                       |                         | 1987        | Domark                                                          | ZX Spectrum                    |                                                                                     |
| msx_007tld                      |        | 007 - The Living Daylights (Euro)                                                                                                                                      |                         | 1987        | Domark                                                          | MSX                            |                                                                                     |
| spec_007spywholovedme           |        | 007 - The Spy Who Loved Me (128K)                                                                                                                                      |                         | 1990        | Domark                                                          | ZX Spectrum                    |                                                                                     |
| sg1k_jb007a                     |        | 007 James Bond (Japan, v2.6, OMV)                                                                                                                                      | sg1k_jb007              | 1984        | Tsukuda Original                                                | Sega SG-1000                   |                                                                                     |
